Ep: 0 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 1 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 2 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 3 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 4 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 5 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 6 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 7 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 8 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 9 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 10 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 11 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 12 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 13 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 14 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 15 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 16 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 17 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 18 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 19 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 20 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 21 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 22 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 23 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 24 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 25 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 26 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 27 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 28 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 29 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 30 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 31 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 32 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 33 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 34 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 35 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 36 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 37 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 38 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 39 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 40 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 41 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 42 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 43 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 44 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 45 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 46 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 47 | Score: 0.0 | Avg: 0.0 | Best: 0.0
Ep: 48 | Score: 2.0 | Avg: 0.1 | Best: 0.0
Ep: 49 | Score: 0.0 | Avg: 0.1 | Best: 2.0
Ep: 50 | Score: 26.0 | Avg: 1.1 | Best: 2.0
Ep: 51 | Score: 2.0 | Avg: 1.2 | Best: 26.0
Ep: 52 | Score: 25.0 | Avg: 2.2 | Best: 26.0
Ep: 53 | Score: 23.0 | Avg: 3.1 | Best: 26.0
Ep: 54 | Score: 13.0 | Avg: 3.6 | Best: 26.0
Ep: 55 | Score: 46.0 | Avg: 5.5 | Best: 26.0
Ep: 56 | Score: 30.0 | Avg: 6.7 | Best: 46.0
Ep: 57 | Score: 112.0 | Avg: 11.2 | Best: 46.0
Ep: 58 | Score: 126.0 | Avg: 16.2 | Best: 112.0
